idMUNICIPIO,NOMBRE_MUNICIPIO,DEPARTAMENTO_idDEPARTAMENTO
1,"EL ENCANTO",1
2,"LA CHORRERA",1
3,"LA PEDRERA",1
4,"LA VICTORIA",1
5,LETICIA,1
6,MIRITI,1
7,"PUERTO ALEGRIA",1
8,"PUERTO ARICA",1
9,"PUERTO NARIÑO",1
10,"PUERTO SANTANDER",1
11,TURAPACA,1
12,ABEJORRAL,2
13,ABRIAQUI,2
14,ALEJANDRIA,2
15,AMAGA,2
16,AMALFI,2
17,ANDES,2
18,ANGELOPOLIS,2
19,ANGOSTURA,2
20,ANORI,2
21,ANTIOQUIA,2
22,ANZA,2
23,APARTADO,2
24,ARBOLETES,2
25,ARGELIA,2
26,ARMENIA,2
27,BARBOSA,2
28,BELLO,2
29,BELMIRA,2
30,BETANIA,2
31,BETULIA,2
32,BOLIVAR,2
33,BRICEÑO,2
34,BURITICA,2
35,CACERES,2
36,CAICEDO,2
37,CALDAS,2
38,CAMPAMENTO,2
39,CANASGORDAS,2
40,CARACOLI,2
41,CARAMANTA,2
42,CAREPA,2
43,"CARMEN DE VIBORAL",2
44,"CAROLINA DEL PRINCIPE",2
45,CAUCASIA,2
46,CHIGORODO,2
47,CISNEROS,2
48,COCORNA,2
49,CONCEPCION,2
50,CONCORDIA,2
51,COPACABANA,2
52,DABEIBA,2
53,DONMATIAS,2
54,EBEJICO,2
55,"EL BAGRE",2
56,"EL PENOL",2
57,"EL RETIRO",2
58,ENTRERRIOS,2
59,ENVIGADO,2
60,FREDONIA,2
61,FRONTINO,2
62,GIRALDO,2
63,GIRARDOTA,2
64,"GOMEZ PLATA",2
65,GRANADA,2
66,GUADALUPE,2
67,GUARNE,2
68,GUATAQUE,2
69,HELICONIA,2
70,HISPANIA,2
71,ITAGUI,2
72,ITUANGO,2
73,JARDIN,2
74,JERICO,2
75,"LA CEJA",2
76,"LA ESTRELLA",2
77,"LA PINTADA",2
78,"LA UNION",2
79,LIBORINA,2
80,MACEO,2
81,MARINILLA,2
82,MEDELLIN,2
83,MONTEBELLO,2
84,MURINDO,2
85,MUTATA,2
86,NARINO,2
87,NECHI,2
88,NECOCLI,2
89,OLAYA,2
90,PEQUE,2
91,PUEBLORRICO,2
92,"PUERTO BERRIO",2
93,"PUERTO NARE",2
94,"PUERTO TRIUNFO",2
95,REMEDIOS,2
96,RIONEGRO,2
97,SABANALARGA,2
98,SABANETA,2
99,SALGAR,2
100,"SAN ANDRES DE CUERQUIA",2
101,"SAN CARLOS",2
102,"SAN FRANCISCO",2
103,"SAN JERONIMO",2
104,"SAN JOSE DE LA MONTAÑA",2
105,"SAN JUAN DE URABA",2
106,"SAN LUIS",2
107,"SAN PEDRO DE LOS MILAGROS",2
108,"SAN PEDRO DE URABA",2
109,"SAN RAFAEL",2
110,"SAN ROQUE",2
111,"SAN VICENTE",2
112,"SANTA BARBARA",2
113,"SANTA ROSA DE OSOS",2
114,"SANTO DOMINGO",2
115,SANTUARIO,2
116,SEGOVIA,2
117,SONSON,2
118,SOPETRAN,2
119,TAMESIS,2
120,TARAZA,2
121,TARSO,2
122,TITIRIBI,2
123,TOLEDO,2
124,TURBO,2
125,URAMITA,2
126,URRAO,2
127,VALDIVIA,2
128,VALPARAISO,2
129,VEGACHI,2
130,VENECIA,2
131,"VIGIA DEL FUERTE",2
132,YALI,2
133,YARUMAL,2
134,YOLOMBO,2
135,YONDO,2
136,ZARAGOZA,2
137,ARAUCA,3
138,ARAUQUITA,3
139,"CRAVO NORTE",3
140,FORTUL,3
141,"PUERTO RONDON",3
142,SARAVENA,3
143,TAME,3
144,BARANOA,4
145,BARRANQUILLA,4
146,"CAMPO DE LA CRUZ",4
147,CANDELARIA,4
148,GALAPA,4
